customer_id,branch_id,first_name,last_name,gender,date_of_birth,phone,email,city,state,employment_status,annual_income,existing_debt,credit_score,created_at
1,11,Akshay,Seshadri,Male,1995-12-21,0991712283,gprashad@example.com,Karimnagar,Telangana,Business,1277150,234053,442,2022-02-12
2,12,Urmi,Tella,Male,1968-09-23,0991712283,gprashad@example.com,New Delhi,Delhi,Student,2019668,66653,330,2023-12-24
3,2,Laksh,Prabhu,Male,1968-04-27,0991712283,gprashad@example.com,Mangalore,Karnataka,Student,361299,147127,503,2022-10-08
4,12,Upasna,Rai,Female,1975-10-18,0991712283,gprashad@example.com,Mysuru,Karnataka,Student,1416816,848749,306,2023-01-10
5,13,Bishakha,Bahl,Male,1974-03-17,0991712283,gprashad@example.com,Pune,Maharashtra,Business,902128,225772,644,2023-07-19
6,2,Zashil,Borra,Male,1969-12-22,0991712283,gprashad@example.com,Mumbai,Maharashtra,Business,1692654,633052,570,2023-09-17
7,13,Jagdish,Deol,Male,1966-11-26,0991712283,gprashad@example.com,Nagpur,Maharashtra,Salaried,1837688,165255,600,2024-02-20
8,11,Ekbal,Narain,Female,1969-07-28,0991712283,gprashad@example.com,New Delhi,Delhi,Salaried,442201,119484,596,2024-02-23
9,2,Omisha,Gokhale,Male,1976-12-26,0991712283,gprashad@example.com,Warangal,Telangana,Business,2151740,765108,466,2026-01-02
10,6,Waida,Jaggi,Female,2001-06-18,0991712283,gprashad@example.com,Mangalore,Karnataka,Business,549483,319360,475,2026-05-07
11,9,Faris,Kala,Male,1981-06-04,0991712283,gprashad@example.com,Mysuru,Karnataka,Government,1382243,671088,524,2023-02-06
12,11,Falak,Sengupta,Female,1976-01-02,0991712283,gprashad@example.com,Hyderabad,Telangana,Salaried,1573105,420651,574,2026-04-16
13,2,Vritti,Andra,Male,1989-03-18,0991712283,gprashad@example.com,New Delhi,Delhi,Self-Employed,2343927,829700,769,2026-01-16
14,3,Indira,Iyengar,Female,2000-02-16,0991712283,gprashad@example.com,Bengaluru,Karnataka,Student,1352018,783300,738,2025-10-03
15,10,Udant,Ghosh,Female,1966-02-05,0991712283,gprashad@example.com,Chennai,Tamil Nadu,Self-Employed,2387108,1034977,393,2025-03-13
16,13,Sarthak,Nagarajan,Male,1972-09-10,0991712283,gprashad@example.com,Hyderabad,Telangana,Self-Employed,2020667,133227,694,2023-09-03
17,7,Balveer,Balan,Female,1998-08-20,0991712283,gprashad@example.com,New Delhi,Delhi,Student,298154,178332,417,2024-03-30
18,11,Ayaan,Ram,Female,1999-10-06,0991712283,gprashad@example.com,Chennai,Tamil Nadu,Business,2073537,331680,764,2023-03-28
19,1,Yochana,Kapur,Female,1977-05-19,0991712283,gprashad@example.com,New Delhi,Delhi,Student,696319,327837,605,2025-08-09
20,11,Lucky,Balakrishnan,Male,1966-09-24,0991712283,gprashad@example.com,Mysuru,Karnataka,Self-Employed,2474464,1199,631,2024-01-12
21,8,Hritik,Nagy,Male,1975-10-06,0991712283,gprashad@example.com,Warangal,Telangana,Business,1254335,60738,546,2025-07-23
22,10,Sara,Lall,Male,2004-07-20,0991712283,gprashad@example.com,Karimnagar,Telangana,Government,540298,279291,428,2022-08-06
23,3,Ayaan,Saraf,Female,1995-10-26,0991712283,gprashad@example.com,New Delhi,Delhi,Business,2463224,1272119,733,2022-06-01
24,4,Devika,Kant,Male,1993-02-17,0991712283,gprashad@example.com,Coimbatore,Tamil Nadu,Business,2087524,1085435,762,2024-10-30
25,2,Yashodhara,Vig,Male,1984-01-19,0991712283,gprashad@example.com,Bengaluru,Karnataka,Business,338224,154221,535,2021-07-17
26,10,Ekalinga,Sunder,Male,1998-04-07,0991712283,gprashad@example.com,Hyderabad,Telangana,Salaried,1210251,70674,332,2022-11-16
27,6,Elijah,Master,Male,2002-10-02,0991712283,gprashad@example.com,New Delhi,Delhi,Business,2285975,449287,435,2022-10-27
28,12,Indira,Aggarwal,Female,1983-07-11,0991712283,gprashad@example.com,Mysuru,Karnataka,Government,1048637,98907,399,2023-07-11
29,11,Wriddhish,Dass,Female,1990-08-31,0991712283,gprashad@example.com,Coimbatore,Tamil Nadu,Government,2208843,113605,400,2021-09-11
30,1,Oviya,Maharaj,Female,1989-07-02,0991712283,gprashad@example.com,Chennai,Tamil Nadu,Self-Employed,1053587,199448,849,2024-09-06
31,8,Urvi,Dhingra,Male,1972-05-11,0991712283,gprashad@example.com,Mumbai,Maharashtra,Business,2190402,523882,377,2023-01-23
32,8,Naveen,Bhakta,Male,1966-09-09,0991712283,gprashad@example.com,Karimnagar,Telangana,Student,311898,24448,542,2024-10-16
33,3,Aryan,Patel,Female,2000-04-19,0991712283,gprashad@example.com,Pune,Maharashtra,Self-Employed,1932084,122967,468,2022-05-18
34,7,Chavvi,Comar,Male,1969-03-09,0991712283,gprashad@example.com,Pune,Maharashtra,Government,1446421,443555,798,2023-09-21
35,3,Daksha,Setty,Male,1975-11-11,0991712283,gprashad@example.com,Chennai,Tamil Nadu,Salaried,505674,164419,358,2025-05-15
36,1,Anay,Babu,Female,1990-09-19,0991712283,gprashad@example.com,New Delhi,Delhi,Salaried,2379987,168005,490,2025-08-13
37,2,Maanas,Aggarwal,Male,1973-04-26,0991712283,gprashad@example.com,Mysuru,Karnataka,Salaried,1282702,607040,340,2023-03-20
38,10,Darsh,Purohit,Male,1974-02-10,0991712283,gprashad@example.com,Nagpur,Maharashtra,Student,2442709,663475,567,2023-09-18
